sujeto,dia_prueba,t_total_s,t_prueba1_s,t_prueba2_s,rechaza,llora,lo_toca,lo_prueba,lo_consume,val_inicio,aro_inicio,val1_antes,val1_durante,val1_despues,val2_antes,val2_durante,val2_despues,aro1_antes,aro1_durante,aro1_despues,aro2_antes,aro2_durante,aro2_despues,val_final,aro_final,comentarios
ID2,1,15.89,0.63,8.43,0.0,0.0,0.0,1.0,1.0,,,0.4303353,0.4201879,0.3126775,0.383046,0.3910111,0.2178053,0.6045712,0.7128978,0.7213606,0.7324265,0.7355257,0.69043,0.07699348,0.752195,
ID2,2,21.06,4.7,16.3,0.0,0.0,0.0,1.0,1.0,0.3157233,0.7059375,0.2093909,0.2890919,0.2025354,0.1845351,0.2535517,0.215568,0.6871317,0.6329176,0.5997798,0.5017236,0.4877023,0.4664187,0.1668271,0.8143125,
ID2,3,27.03,,,1.0,1.0,0.0,0.0,0.0,0.3607439,0.35305,,,,,,,,,,,,,,,"Seg 21,11 la papilla toca los labios pero no lo prueba"
ID2,4,39.73,8.36,37.1,1.0,,0.0,1.0,1.0,0.1403031,0.07530001,0.2111477,0.232873,,0.6392401,0.5974893,0.5909316,0.5865557,0.5564353,,0.4594442,0.6724257,0.6759906,0.1419482,0.411069,"2da vez: 0,5 antes FIT_FAILED, anotado 0,48. 0,5 después FIT_FAILED, 0,49 anotado"
ID2,5,19.43,2.9,12.6,0.0,0.0,0.0,1.0,1.0,0.08556042,0.3470584,0.2838012,,,,,,0.6390883,,,,,,0.08152308,0.893075,
ID2,6,10.49,1.43,,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,
ID3,1,32.16,4.26,6.2,0.0,0.0,0.0,1.0,1.0,0.3740375,0.9754208,0.1988649,,0.2159939,0.18752,0.1426047,0.1167848,0.5074647,,0.468702,0.5135257,0.5034558,0.4894415,0.1716968,0.6520805,"¿2da prueba? 18,86. Hace pucheros"
ID3,2,24.23,4.43,17.06,0.0,0.0,0.0,1.0,0.0,0.4258815,0.8653625,0.138285,0.203841,0.3210213,,0.2581534,0.2308445,0.4488254,0.4224925,0.5092902,,0.906981,0.7869892,0.07162232,0.53429,
ID3,3,31.16,13.76,20.09,0.0,0.0,0.0,1.0,0.0,0.08344806,0.1381167,0.1563292,0.150162,0.1623059,0.2147297,0.2032492,0.2121862,0.4586549,0.435565,0.4189555,0.4548077,0.4389734,0.4304928,0.05974219,0.8573357,Esquiva la cuchara ¿rechazo?
ID3,4,11.69,0.7,,0.0,0.0,0.0,1.0,1.0,0.1431962,0.3749208,0.154942,0.2056298,0.2032728,,,,0.3737917,0.4182543,0.4701261,,,,0.2342016,0.7306529,"La segunda vez sí lo rechaza ( corre la cara), no lo prueba"
ID3,5,40.06,1.8,22.26,1.0,0.0,0.0,1.0,0.0,0.110574,0.476125,0.1861933,0.1809343,0.1641362,0.09999079,0.09804553,0.136908,0.5067814,0.4905707,0.4609474,0.5601228,0.5382319,0.6215369,0.07869221,0.7454267,"1era vez no lo prueba, lo rechaza y hace puchero"
ID3,6.1,22.33,6.7,,1.0,0.0,0.0,0.0,0.0,0.09154134,0.8311625,0.08754081,0.09610073,0.1133165,,,,0.7206476,0.6658671,0.6120194,,,,0.05373215,0.99,La cuchara sólo toca los labios. Hace pucheros
ID3,6.2,15.76,2.27,,0.0,0.0,0.0,1.0,0.0,0.07186207,0.99,0.1355303,0.1396538,0.1422011,,,,0.8180348,0.7104184,0.6176952,,,,0.07147405,0.6855917,Hace pucheros
ID3,7.1,11.79,,,1.0,0.0,0.0,0.0,0.0,0.3724247,0.99,,,,,,,,,,,,,,,Rechaza y casi se pone a llorar
ID3,7.2,19.06,1.26,14.13,0.0,0.0,0.0,1.0,1.0,0.3739474,0.99,0.3414004,0.2880399,0.3070621,0.3182788,0.335007,0.2914325,0.9858838,0.9762529,0.9401654,0.5798249,0.5262108,0.47981,0.3627652,0.7031476,La 2da vez corre la cara 
ID3,8,27.46,14.66,20.26,0.0,0.0,0.0,1.0,1.0,0.08415783,0.99,0.227017,0.1920055,0.1908311,0.2598885,,0.2186778,0.7373079,0.6751741,0.6074764,0.4874744,,0.4233465,0.3897974,0.6180849,"Al principio lo rechaza, no abre la boca"
ID3,9,25.89,13.4,21.13,1.0,0.0,0.0,1.0,0.0,0.1130479,0.4085,0.1620384,0.1285434,0.115484,0.162279,0.1247447,0.1055949,0.7675727,0.7346685,0.695716,0.5271978,0.4689644,0.4338855,0.06596849,0.7979434,
ID3,10,37.46,21.13,31.76,1.0,0.0,0.0,1.0,1.0,0.1101097,0.4507167,0.1092515,0.09929353,0.1162566,0.0996631,0.09004688,0.1620212,0.3757038,0.36797,0.351804,0.3957164,0.3663868,0.3558452,0.1333773,0.7352012,
ID3,11,29.89,1.2,11.8,0.0,0.0,0.0,1.0,0.0,0.1437311,0.7042,0.1436356,0.1264652,0.09549755,,,,0.6847805,0.6619384,0.6294401,,,,0.1148032,0.7092205,
ID3,12,20.49,14.1,,1.0,0.0,0.0,1.0,0.0,0.3834838,0.8620042,0.163807,0.1309717,0.237891,,,,0.4276877,0.395056,0.3794003,,,,0.07768895,0.8535936,
ID3,13,20.96,2.83,8.3,0.0,0.0,0.0,1.0,0.0,0.06823567,0.4622958,0.0796237,0.07262021,0.07546327,,0.1621016,0.1226645,0.656886,0.6479682,0.6175984,,0.6700021,0.6398863,0.06261856,0.7851015,
ID3,14,17.93,8.16,15.36,0.0,0.0,0.0,1.0,1.0,0.06228033,0.4437875,0.1730261,0.1377107,0.1091319,0.1733341,0.1468683,0.1308062,0.7233347999999999,0.6340019,0.5429462,0.5539788,0.5201624,0.4905086,0.09769272,0.8370242,
